subo,f,fam,sp,name,code,group,clus,len,loglen,weight,logwt,wtpred,wtresid,gest,loggest,gestpred,gestresid,inter,loginter,interpred,interresid,long,loglong,longpred,longresid,neolen,logneo,loglen,neoresid,neopred,asm,logasm,asmpred,asmresid,lbathy,bathymean,Ice15sMean,latmean,ablat
Odontoceti,D,Delphinidae,Pseudorca crassidens,False killer whale,Pcr,2,B,596,2.77524626,1360000,6.133538908,6.138866,-0.005326706,15.5,1.190331698,1.08118,0.109151805,84,1.924279286,1.459705,0.46457461,62.5,1.795880017,1.669018,0.12686227,160,2.204119983,2.77524626,-0.074196209,2.278316,11,1.041392685,0.9177918,0.123600924,3.604226053,4020,0.0103,1.27,1.3
Odontoceti,D,Delphinidae,Sotalia fluviatilis,Tucuxi,Sfl,1,R,220,2.342422681,60000,4.77815125,4.955956,-0.177804617,11.5,1.06069784,1.062117,-0.001419305,22.5,1.352182518,1.431076,-0.07889324,35,1.544068044,1.401195,0.14287311,95,1.977723605,2.342422681,0.042484141,1.935239,.,0.833862,.,0,0.698970004,5,0.01,-2.1,2.1
Odontoceti,D,Delphinidae,Stenella attenuata,Pantropical spotted dolphin,Sat,1,R,257,2.409933123,57400,4.758911892,5.140462,-0.381550466,11.5,1.06069784,1.06509,-0.004392652,30,1.477121255,1.435541,0.04158005,46,1.662757832,1.442969,0.21978875,83,1.919078092,2.409933123,-0.069673387,1.988751,10,1,0.8540011,0.14599888,3.62324929,4200,0.0126,-3.45,3.5
Odontoceti,D,Delphinidae,Stenella coeruleoalba,Striped dolphin,Sco,2,B,256,2.408239965,135900,5.133219457,5.135835,-0.002615489,12.5,1.096910013,1.065016,0.031894092,40,1.602059991,1.435429,0.16663078,57.5,1.759667845,1.441921,0.31774645,96.5,1.984527313,2.408239965,-0.002882087,1.987409,9,0.954242509,0.8537055,0.100537047,3.62324929,4200,0.0114,-0.881,0.9
Odontoceti,D,Delphinidae,Stenella frontalis,Atlantic spotted dolphin,Sfr,1,R,230,2.361727836,110000,5.041392685,5.008717,0.0326757,12,1.079181246,1.062967,0.016213848,36,1.556302501,1.432353,0.12394981,.,1.409543,.,0,104,2.017033339,2.361727836,0.066491683,1.950542,11.5,1.06069784,0.8455836,0.215114283,4.176091259,15000,0.01,37.5,37.5
Odontoceti,D,Delphinidae,Stenella longirostris,Spinner dolphin,Slo,1,R,235,2.371067862,50500,4.703291378,5.034243,-0.330951961,10.5,1.021189299,1.063379,-0.04218946,36,1.556302501,1.43297,0.12333202,.,1.416008,.,0,80,1.903089987,2.371067862,-0.054855022,1.957945,5.5,0.740362689,0.8472145,-0.106851815,3.627365857,4240,0.0136,0.579,0.6
Odontoceti,D,Delphinidae,Tursiops aduncus,Indo-Pacific bottlenose dolphin,.,1,R,237,2.374748346,175000,5.243038049,5.044302,0.198735923,12,1.079181246,1.063541,0.015640389,36.5,1.562292864,1.433214,0.12907894,.,1.418555,.,0,88,1.944482672,2.374748346,-0.016379665,1.960862,9,0.954242509,0.8478572,0.106385323,3.348304863,2230,0.148,1.09,1.1
Odontoceti,D,Delphinidae,Tursiops truncatus,Common bottlenose dolphin,Ttr,1,R,400,2.602059991,175000,5.243038049,5.665546,-0.422508329,12,1.079181246,1.073552,0.005628955,24,1.380211242,1.448249,-0.06803811,51.6,1.712649702,1.561853,0.15079625,117,2.068185862,2.602059991,-0.072854588,2.14104,9,0.954242509,0.8875501,0.066692374,3.620136055,4170,0.0157,-0.796,0.8
Odontoceti,D,Delphinidae,Steno bredanensis,Rough-toothed dolphin,Sbr,1,R,265,2.423245874,130000,5.113943352,5.176846,-0.062902844,.,1.064885,.,0,.,1.437213,.,0,32,1.505149978,1.451207,0.05394322,.,2.000085,2.423245874,0,.,10,1,0.8563258,0.14367422,3.622214023,4190,0.0128,0.778,0.8
Odontoceti,K,Kogiidae,Kogia breviceps,Pygmy sperm whale,Kbr,3,R,380,2.579783597,431500,5.6349808,5.604665,0.030315956,10,1,1.072571,-0.072571177,12,1.079181246,1.446776,-0.36759464,17,1.230448921,1.548069,-0.31762033,124.8,2.096214585,2.579783597,-0.027168525,2.123383,.,0.9047991,.,0,3.626340367,4230,0.0133,-0.159,0.2
Odontoceti,K,Kogiidae,Kogia sima,Dwarf sperm whale,.,3,R,216,2.334453751,183067,5.262610065,4.934177,0.328433337,9.1,0.959041392,1.061766,-0.10272478,.,1.407217,.,0,23,1.361727836,1.396264,-0.03453608,100,2,2.334453751,0.071077092,1.928923,5,0.698970004,0.840821,-0.141850978,3.627365857,4240,0.011,-2.1,2.1
Odontoceti,M,Monodontidae,Delphinapterus leucas,Beluga whale,Dle,2,B,550,2.740362689,1360000,6.133538908,6.043529,0.090010327,14.5,1.161368002,1.079644,0.081724478,36,1.556302501,1.457397,0.09890518,77,1.886490725,1.647432,0.23905825,150,2.176091259,2.740362689,-0.074574542,2.250666,9,0.954242509,0.9117004,0.042542085,2.946452265,884,8.42,72.4,72.4
Odontoceti,M,Monodontidae,Monodon monoceros,Narwhal,Mmo,2,B,470,2.672097858,900000,5.954242509,5.85696,0.09728217,15.3,1.184691431,1.076637,0.108054479,36,1.556302501,1.452882,0.10342053,115,2.06069784,1.605192,0.45550632,160,2.204119983,2.672097858,0.007564161,2.196556,6.5,0.812913357,0.8997801,-0.086866727,3.225309282,1680,10.6,77.8,77.8
Odontoceti,P,Phocoenidae,Neophocaena phocaenoides,Indo-Pacific finless porpoise,Nph,1,R,206,2.31386722,32500,4.511883361,4.877914,-0.366030239,11,1.041392685,1.060859,-0.019466799,24,1.380211242,1.429187,-0.04897573,34,1.531478917,1.383525,0.14795354,77,1.886490725,2.31386722,-0.026114312,1.912605,7,0.84509804,0.8372262,0.007871859,2.712649702,516,0.01,20.3,20.3
Odontoceti,P,Phocoenidae,Phocoena dioptrica,Spectacled porpoise,Pdi,1,R,240,2.380211242,65000,4.812913357,5.059232,-0.246318901,.,1.057894,.,0,.,1.422675,.,0,8,0.903089987,1.424578,-0.52148778,94,1.973127854,2.380211242,0.007935364,1.965192,3,0.477121255,0.8488111,-0.371689858,3.43088095,2697,1.1,-44.6,44.6
Odontoceti,P,Phocoenidae,Phocoena phocoena,Harbor porpoise,Pph,1,R,186,2.269512944,52500,4.720159303,4.756693,-0.036533763,10.5,1.021189299,1.058906,-0.0377167,12,1.079181246,1.426253,-0.34707193,20.4,1.309630167,1.35608,-0.04644964,70,1.84509804,2.269512944,-0.03234967,1.877448,3.5,0.544068044,0.8294811,-0.285413034,3.004321374,1010,1.91,61.8,61.8
Odontoceti,P,Phocoenidae,Phocoena sinus,Vaquita,Psi,1,R,144,2.158362492,42500,4.62838893,4.452918,0.175470796,10.5,1.021189299,1.054011,-0.032821327,.,1.34773,.,0,21,1.322219295,1.287302,0.03491722,74,1.86923172,2.158362492,0.079887189,1.789345,.,0.7788543,.,0,1.98677173,97,0.01,30.4,30.4
